国名	公用語
アイスランド	アイスランド語
アイルランド	アイルランド語、英語
アゼルバイジャン	アゼルバイジャン語
アフガニスタン	ダリー語、パシュトゥ語
アメリカ	英語（米国式）
アラブ首長国連邦	アラビア語
アルジェリア	アラビア語
アルゼンチン	スペイン語
アルバ	オランダ語、パピアメント語
アルバニア	アルバニア語
アルメニア	アルメニア語
アンギラ	英語（米国式）
アンゴラ	ポルトガル語
アンティグア・バーブーダ	英語（米国式）
アンドラ	カタルーニャ語
イエメン	アラビア語
イギリス	英語（英国式）
イスラエル	ヘブライ語、アラビア語
イタリア	イタリア語
イラク	アラビア語、クルド語
イラン	ペルシャ語、トルコ語、クルド語
インド	ヒンディー語、英語（英国式）、アッサム語、ベンガル語、ボド語、ドーグリー語、グジャラート語、カンナダ語、カシミール語、コーンカニー語、マイティリー語、マラヤーラム語、マニプル語、マラーティー語、ネパール語、オリヤー語、パンジャーブ語、サンスクリット語、サンタル語、シンド語、タミル語、テルグ語、ウルドゥー語
インドネシア	インドネシア語
ウガンダ	英語（英国式）、スワヒリ語
ウクライナ	ウクライナ語
ウズベキスタン	ウズベク語
ウルグアイ	スペイン語
エクアドル	スペイン語
エジプト	アラビア語
エストニア	エストニア語
エスワティニ	英語（英国式）、スワジ語
エチオピア	アムハラ語
エリトリア	アラビア語、ティグリニャ語
エルサルバドル	スペイン語
オーストラリア	英語（英国式）
オーストリア	ドイツ語
オマーン	アラビア語
オランダ	オランダ語
ガーナ	英語（英国式）
カーボベルデ	カーボベルデ語、ポルトガル語
ガイアナ	英語（英国式）
カザフスタン	カザフ語、ロシア語
カタール	アラビア語
カナダ	英語（米国式）、フランス語
ガボン	フランス語
カメルーン	英語（英国式）、フランス語
ガンビア	英語（英国式）
カンボジア	クメール語（カンボジア語）
ギニア	フランス語
ギニアビサウ	ポルトガル語
キプロス	現代ギリシャ語、トルコ語
キューバ	スペイン語
ギリシャ	ギリシャ語
キリバス	キリバス語、英語（米国式）
キルギス	キルギス語、ロシア語
グアテマラ	スペイン語
グアム	英語（米国式）、チャモロ語
クウェート	アラビア語
クック諸島	クック諸島マオリ語、英語（米国式）
グリーンランド	グリーンランド語
グレナダ	英語（米国式）
クロアチア	クロアチア語、イタリア語
ケイマン諸島	英語（米国式）
ケニア	スワヒリ語、英語（英国式）
コートジボワール	フランス語
コスタリカ	スペイン語
コモロ	アラビア語、コモロ語、フランス語
コロンビア	スペイン語
コンゴ共和国	フランス語
コンゴ民主共和国	フランス語
サウジアラビア	アラビア語
サモア	サモア語、英語（米国式）
サントメ・プリンシペ	ポルトガル語
ザンビア	英語（英国式）
サンピエール島・ミクロン島	フランス語
サンマリノ	イタリア語
シエラレオネ	英語（英国式）
ジブチ	アラビア語、フランス語
ジブラルタル	英語（英国式）
ジャマイカ	英語（米国式）
ジョージア（グルジア）	グルジア語
シリア	アラビア語
シンガポール	マレー語、英語（英国式）、中国語（香港台湾式繫体字・大陸式簡体字）、タミール語
ジンバブエ	英語（英国式）
スイス	ドイツ語、フランス語、イタリア語、ロマンシュ語
スウェーデン	スウェーデン語
スーダン	アラビア語、英語（英国式）
スペイン	スペイン語
スリナム	オランダ語
スリランカ	シンハラ語、タミル語
スロバキア	スロバキア語
スロベニア	スロベニア語
セーシェル	クレオール語、英語（英国式）、フランス語
セネガル	フランス語
セルビア	セルビア語
セントクリストファー・ネイビス	英語（米国式）
セントビンセントおよびグレナディーン諸島	英語（米国式）
セントルシア	英語（米国式）
ソマリア	ソマリ語、アラビア語
ソロモン諸島	英語（英国式）
タイ	タイ語
タジキスタン	タジク語
タンザニア	スワヒリ語、英語（英国式）
チェコ	チェコ語
チャド	アラビア語、フランス語
チュニジア	アラビア語
チリ	スペイン語
ツバル	ツバル語、英語（英国式）
デンマーク	デンマーク語
ドイツ	ドイツ語
トーゴ	フランス語
ドミニカ	英語（米国式）
ドミニカ共和国	スペイン語
トリニダード・トバゴ	英語（米国式）
トルクメニスタン	トルクメン語
